"model","rank","n","prop"
"BART_ps-bart",1,6,0.375
"BART_ps-bart",2,3,0.1875
"BART_ps-bart",3,4,0.25
"BART_ps-bart",5,1,0.0625
"BART_ps-bart",6,2,0.125
"BART_ps-glm",1,3,0.1875
"BART_ps-glm",2,4,0.25
"BART_ps-glm",3,6,0.375
"BART_ps-glm",4,2,0.125
"BART_ps-glm",5,1,0.0625
"BART_s-learner",1,1,0.0625
"BART_s-learner",2,5,0.3125
"BART_s-learner",3,4,0.25
"BART_s-learner",4,3,0.1875
"BART_s-learner",5,2,0.125
"BART_s-learner",6,1,0.0625
"BART_t-learner",1,2,0.125
"BART_t-learner",2,1,0.0625
"BART_t-learner",3,1,0.0625
"BART_t-learner",4,5,0.3125
"BART_t-learner",5,3,0.1875
"BART_t-learner",6,4,0.25
"aiptw",1,2,0.125
"aiptw",2,2,0.125
"aiptw",4,3,0.1875
"aiptw",5,4,0.25
"aiptw",6,5,0.3125
"causal_forest",1,2,0.125
"causal_forest",2,1,0.0625
"causal_forest",3,1,0.0625
"causal_forest",4,3,0.1875
"causal_forest",5,5,0.3125
"causal_forest",6,4,0.25
